date,headline
2023-11-20,Microsoft Hires Sam Altman Hours After OpenAI Rejects His Return
2023-11-20,"Microsoft Hires OpenAI’s Ousted C.E.O., and More"
2023-11-20,Microsoft’s Stock Hits Record High After Hiring OpenAI Outcasts
2023-11-20,How Microsoft’s Satya Nadella Kept the ‘Best Bromance in Tech’ Alive
2023-11-21,The OpenAI Coup Is Great for Microsoft. What Does It Mean for Us?
2023-12-12,Microsoft Agrees to Remain Neutral in Union Campaigns
2023-12-27,The Times Sues OpenAI and Microsoft Over A.I. Use of Copyrighted Work
2024-01-10,Microsoft Debates What to Do With A.I. Lab in China
2024-01-12,Microsoft Tops Apple to Become Most Valuable Public Company
2024-01-20,Microsoft Executives’ Emails Hacked by Group Tied to Russian Intelligence
2024-01-25,"Microsoft Cuts 1,900 Jobs in Its Video Game Division"
2024-01-30,Microsoft Reports 33% Rise in Profit
2024-02-25,"Why Microsoft Has Accepted Unions, Unlike Its Rivals"
2024-02-28,Microsoft Word’s Subtle Typeface Change Affected Millions. Did You Notice?
2024-03-02,Why Elon Musk’s OpenAI Lawsuit Leans on A.I. Research From Microsoft
2024-03-05,Microsoft Seeks to Dismiss Parts of Suit Filed by The New York Times
2024-03-09,About 600 Workers Unionize at Microsoft-Owned Activision
2024-03-19,Microsoft Hires DeepMind Co-Founder to Run Consumer A.I.
2024-03-20,Is Microsoft Building an Unassailable Lead in A.I.?
2024-03-23,The Second Coming of the Microsoft Antitrust Battle?
2024-04-02,Regulators Force Another Microsoft Split
2024-04-16,Microsoft Makes High-Stakes Play in Tech Cold War With Emirati A.I. Deal
2024-04-23,Microsoft Makes a New Push Into Smaller A.I. Systems
2024-04-25,Microsoft Reports Rising Revenues as A.I. Investments Bear Fruit
2024-04-30,8 Daily Newspapers Sue OpenAI and Microsoft Over A.I.
2024-05-24,"ScarJo vs. ChatGPT, Neuralink’s First Patient Opens Up, and Microsoft’s A.I. PCs"
2024-06-06,"U.S. Clears Way for Antitrust Inquiries of Nvidia, Microsoft and OpenAI"
2024-06-13,Lawmakers Question Microsoft’s President About Its Presence in China
2024-06-18,"Nvidia Becomes Most Valuable Public Company, Topping Microsoft"
