Month-Year,HEADLINES,SEC filings-Highlights,Open,Close
2022-01,,"1. Revenue for the first quarter of fiscal year 2023 was $8.29 billion, up 46% from a year ago and up 8% sequentially.
2. Gaming revenue was up 31% from a year ago and up 6% sequentially. 
3. Our GPUs are capable of cryptocurrency mining, though we have limited visibility into how much this impacts our overall GPU demand.
4. Data Center revenue was up 83% from a year ago and up 15% sequentially. 
5. Professional Visualization revenue was up 67% from a year ago and down 3% sequentially.
6. Automotive revenue was down 10% from a year ago and up 10% sequentially. | ANNUAL 1. Data Center revenue was up 58% from a year ago.
2. Professional Visualization revenue was up 100% from a year ago.
3. Automotive revenue was up 6% from a year ago.
4. OEM and Other revenue was up 84% from a year ago.
5. Gross margin for fiscal year 2022 was up 260 basis points from a year ago.
6. Operating expenses for fiscal year 2022 were up 27% from a year ago.
7. Income from operations was $10.04 billion, up 122% from a year ago.",29.815001,24.486
2022-02,"Nvidia Deal to Buy Arm From SoftBank Is Off After Setbacks | SoftBank returns to profitability, barely, as the tech sector suffers.","1. Revenue for the first quarter of fiscal year 2023 was $8.29 billion, up 46% from a year ago and up 8% sequentially.
2. Gaming revenue was up 31% from a year ago and up 6% sequentially. 
3. Our GPUs are capable of cryptocurrency mining, though we have limited visibility into how much this impacts our overall GPU demand.
4. Data Center revenue was up 83% from a year ago and up 15% sequentially. 
5. Professional Visualization revenue was up 67% from a year ago and down 3% sequentially.
6. Automotive revenue was down 10% from a year ago and up 10% sequentially. | ANNUAL 1. Data Center revenue was up 58% from a year ago.
2. Professional Visualization revenue was up 100% from a year ago.
3. Automotive revenue was up 6% from a year ago.
4. OEM and Other revenue was up 84% from a year ago.
5. Gross margin for fiscal year 2022 was up 260 basis points from a year ago.
6. Operating expenses for fiscal year 2022 were up 27% from a year ago.
7. Income from operations was $10.04 billion, up 122% from a year ago.",25.104,24.385
2022-03,,"1. Revenue for the first quarter of fiscal year 2023 was $8.29 billion, up 46% from a year ago and up 8% sequentially.
2. Gaming revenue was up 31% from a year ago and up 6% sequentially. 
3. Our GPUs are capable of cryptocurrency mining, though we have limited visibility into how much this impacts our overall GPU demand.
4. Data Center revenue was up 83% from a year ago and up 15% sequentially. 
5. Professional Visualization revenue was up 67% from a year ago and down 3% sequentially.
6. Automotive revenue was down 10% from a year ago and up 10% sequentially. | ANNUAL 1. Data Center revenue was up 58% from a year ago.
2. Professional Visualization revenue was up 100% from a year ago.
3. Automotive revenue was up 6% from a year ago.
4. OEM and Other revenue was up 84% from a year ago.
5. Gross margin for fiscal year 2022 was up 260 basis points from a year ago.
6. Operating expenses for fiscal year 2022 were up 27% from a year ago.
7. Income from operations was $10.04 billion, up 122% from a year ago.",24.291,27.285999
2022-04,,"1. Revenue for the second quarter of fiscal year 2023 was $6.70 billion, up 3% from a year ago and down 19% sequentially.
2. Gaming revenue was down 33% from a year ago and down 44% sequentially. 
3. Data Center revenue was up 61% from a year ago and up 1% sequentially. 
4. Professional Visualization revenue was down 4% from a year ago and down 20% sequentially. 
5. Automotive revenue was up 45% from a year ago and up 59% sequentially.
6. OEM and Other revenue was down 66% from a year ago and down 11% sequentially. 
7. Gross margin decreases were primarily due to a $1.34 billion charge, comprised of $1.22 billion for inventory and related reserves and $122 million for warranty reserves. | ANNUAL 1. Revenue for the first quarter of fiscal year 2023 was $8.29 billion, up 46% from a year ago and up 8% sequentially.
2. Gaming revenue was up 31% from a year ago and up 6% sequentially. 
3. Our GPUs are capable of cryptocurrency mining, though we have limited visibility into how much this impacts our overall GPU demand.
4. Data Center revenue was up 83% from a year ago and up 15% sequentially. 
5. Professional Visualization revenue was up 67% from a year ago and down 3% sequentially.
6. Automotive revenue was down 10% from a year ago and up 10% sequentially.",27.375,18.547001
2022-05,,"1. Revenue for the second quarter of fiscal year 2023 was $6.70 billion, up 3% from a year ago and down 19% sequentially.
2. Gaming revenue was down 33% from a year ago and down 44% sequentially. 
3. Data Center revenue was up 61% from a year ago and up 1% sequentially. 
4. Professional Visualization revenue was down 4% from a year ago and down 20% sequentially. 
5. Automotive revenue was up 45% from a year ago and up 59% sequentially.
6. OEM and Other revenue was down 66% from a year ago and down 11% sequentially. 
7. Gross margin decreases were primarily due to a $1.34 billion charge, comprised of $1.22 billion for inventory and related reserves and $122 million for warranty reserves. | ANNUAL 1. Revenue for the first quarter of fiscal year 2023 was $8.29 billion, up 46% from a year ago and up 8% sequentially.
2. Gaming revenue was up 31% from a year ago and up 6% sequentially. 
3. Our GPUs are capable of cryptocurrency mining, though we have limited visibility into how much this impacts our overall GPU demand.
4. Data Center revenue was up 83% from a year ago and up 15% sequentially. 
5. Professional Visualization revenue was up 67% from a year ago and down 3% sequentially.
6. Automotive revenue was down 10% from a year ago and up 10% sequentially.",18.541,18.672001
2022-06,,"1. Revenue for the second quarter of fiscal year 2023 was $6.70 billion, up 3% from a year ago and down 19% sequentially.
2. Gaming revenue was down 33% from a year ago and down 44% sequentially. 
3. Data Center revenue was up 61% from a year ago and up 1% sequentially. 
4. Professional Visualization revenue was down 4% from a year ago and down 20% sequentially. 
5. Automotive revenue was up 45% from a year ago and up 59% sequentially.
6. OEM and Other revenue was down 66% from a year ago and down 11% sequentially. 
7. Gross margin decreases were primarily due to a $1.34 billion charge, comprised of $1.22 billion for inventory and related reserves and $122 million for warranty reserves.",18.724001,15.159
2022-07,,"1. Revenue for the third quarter of fiscal year 2023 was $5.93 billion, down 17% from a year ago and down 12% sequentially.
2. Data Center revenue was up 31% from a year ago and up 1% sequentially.
3. Gaming revenue was down 51% from a year ago and down 23% sequentially.
4. Professional Visualization revenue was down 65% from a year ago and down 60% sequentially.
5. Automotive revenue was up 86% from a year ago and up 14% sequentially.
6. OEM and Other revenue was down 69% from a year ago and down 48% sequentially. | ANNUAL 1. Revenue for the second quarter of fiscal year 2023 was $6.70 billion, up 3% from a year ago and down 19% sequentially.
2. Gaming revenue was down 33% from a year ago and down 44% sequentially. 
3. Data Center revenue was up 61% from a year ago and up 1% sequentially. 
4. Professional Visualization revenue was down 4% from a year ago and down 20% sequentially. 
5. Automotive revenue was up 45% from a year ago and up 59% sequentially.
6. OEM and Other revenue was down 66% from a year ago and down 11% sequentially. 
7. Gross margin decreases were primarily due to a $1.34 billion charge, comprised of $1.22 billion for inventory and related reserves and $122 million for warranty reserves.",14.899,18.163
2022-08,,"1. Revenue for the third quarter of fiscal year 2023 was $5.93 billion, down 17% from a year ago and down 12% sequentially.
2. Data Center revenue was up 31% from a year ago and up 1% sequentially.
3. Gaming revenue was down 51% from a year ago and down 23% sequentially.
4. Professional Visualization revenue was down 65% from a year ago and down 60% sequentially.
5. Automotive revenue was up 86% from a year ago and up 14% sequentially.
6. OEM and Other revenue was down 69% from a year ago and down 48% sequentially. | ANNUAL 1. Revenue for the second quarter of fiscal year 2023 was $6.70 billion, up 3% from a year ago and down 19% sequentially.
2. Gaming revenue was down 33% from a year ago and down 44% sequentially. 
3. Data Center revenue was up 61% from a year ago and up 1% sequentially. 
4. Professional Visualization revenue was down 4% from a year ago and down 20% sequentially. 
5. Automotive revenue was up 45% from a year ago and up 59% sequentially.
6. OEM and Other revenue was down 66% from a year ago and down 11% sequentially. 
7. Gross margin decreases were primarily due to a $1.34 billion charge, comprised of $1.22 billion for inventory and related reserves and $122 million for warranty reserves.",18.181999,15.094
2022-09,,"1. Revenue for the third quarter of fiscal year 2023 was $5.93 billion, down 17% from a year ago and down 12% sequentially.
2. Data Center revenue was up 31% from a year ago and up 1% sequentially.
3. Gaming revenue was down 51% from a year ago and down 23% sequentially.
4. Professional Visualization revenue was down 65% from a year ago and down 60% sequentially.
5. Automotive revenue was up 86% from a year ago and up 14% sequentially.
6. OEM and Other revenue was down 69% from a year ago and down 48% sequentially.",14.209,12.139
2022-10,,"1. Data Center revenue was up 41% from a year ago.
2. Gaming revenue was down 27% from a year ago.
3. Professional Visualization revenue was down 27% from a year ago.
4. Automotive revenue was up 60% from a year ago.
5. Gross margin for fiscal year 2023 declined from a year ago.
6. Operating expenses, which included a $1.35 billion acquisition termination charge related to the Arm transaction, were up 50% from a year ago. | ANNUAL 1. Revenue for the third quarter of fiscal year 2023 was $5.93 billion, down 17% from a year ago and down 12% sequentially.
2. Data Center revenue was up 31% from a year ago and up 1% sequentially.
3. Gaming revenue was down 51% from a year ago and down 23% sequentially.
4. Professional Visualization revenue was down 65% from a year ago and down 60% sequentially.
5. Automotive revenue was up 86% from a year ago and up 14% sequentially.
6. OEM and Other revenue was down 69% from a year ago and down 48% sequentially.",12.347,13.497
2022-11,,"1. Data Center revenue was up 41% from a year ago.
2. Gaming revenue was down 27% from a year ago.
3. Professional Visualization revenue was down 27% from a year ago.
4. Automotive revenue was up 60% from a year ago.
5. Gross margin for fiscal year 2023 declined from a year ago.
6. Operating expenses, which included a $1.35 billion acquisition termination charge related to the Arm transaction, were up 50% from a year ago. | ANNUAL 1. Revenue for the third quarter of fiscal year 2023 was $5.93 billion, down 17% from a year ago and down 12% sequentially.
2. Data Center revenue was up 31% from a year ago and up 1% sequentially.
3. Gaming revenue was down 51% from a year ago and down 23% sequentially.
4. Professional Visualization revenue was down 65% from a year ago and down 60% sequentially.
5. Automotive revenue was up 86% from a year ago and up 14% sequentially.
6. OEM and Other revenue was down 69% from a year ago and down 48% sequentially.",13.811,16.923
2022-12,,"1. Data Center revenue was up 41% from a year ago.
2. Gaming revenue was down 27% from a year ago.
3. Professional Visualization revenue was down 27% from a year ago.
4. Automotive revenue was up 60% from a year ago.
5. Gross margin for fiscal year 2023 declined from a year ago.
6. Operating expenses, which included a $1.35 billion acquisition termination charge related to the Arm transaction, were up 50% from a year ago.",16.999001,14.614
2023-01,,"1. Revenue for the first quarter of fiscal year 2024 was $7.19 billion, down 13% from a year ago and up 19% sequentially.
2. Data Center revenue was up 14% from a year ago and up 18% sequentially.
3. Gaming revenue was down 38% from a year ago and up 22% sequentially. 
4. Professional Visualization revenue was down 53% from a year ago and up 31% sequentially. 
5. Automotive revenue was up 114% from a year ago and up 1% sequentially. 
6. OEM and Other revenue was down 51% from a year ago and down 8% sequentially. 
7. Gross margin declined from a year earlier and increased sequentially. 
8. Operating expenses were down 30% from a year ago and down 3% sequentially. | ANNUAL 1. Data Center revenue was up 41% from a year ago.
2. Gaming revenue was down 27% from a year ago.
3. Professional Visualization revenue was down 27% from a year ago.
4. Automotive revenue was up 60% from a year ago.
5. Gross margin for fiscal year 2023 declined from a year ago.
6. Operating expenses, which included a $1.35 billion acquisition termination charge related to the Arm transaction, were up 50% from a year ago.",14.851,19.537001
2023-02,,"1. Revenue for the first quarter of fiscal year 2024 was $7.19 billion, down 13% from a year ago and up 19% sequentially.
2. Data Center revenue was up 14% from a year ago and up 18% sequentially.
3. Gaming revenue was down 38% from a year ago and up 22% sequentially. 
4. Professional Visualization revenue was down 53% from a year ago and up 31% sequentially. 
5. Automotive revenue was up 114% from a year ago and up 1% sequentially. 
6. OEM and Other revenue was down 51% from a year ago and down 8% sequentially. 
7. Gross margin declined from a year earlier and increased sequentially. 
8. Operating expenses were down 30% from a year ago and down 3% sequentially. | ANNUAL 1. Data Center revenue was up 41% from a year ago.
2. Gaming revenue was down 27% from a year ago.
3. Professional Visualization revenue was down 27% from a year ago.
4. Automotive revenue was up 60% from a year ago.
5. Gross margin for fiscal year 2023 declined from a year ago.
6. Operating expenses, which included a $1.35 billion acquisition termination charge related to the Arm transaction, were up 50% from a year ago.",19.691,23.216
2023-03,,"1. Revenue for the first quarter of fiscal year 2024 was $7.19 billion, down 13% from a year ago and up 19% sequentially.
2. Data Center revenue was up 14% from a year ago and up 18% sequentially.
3. Gaming revenue was down 38% from a year ago and up 22% sequentially. 
4. Professional Visualization revenue was down 53% from a year ago and up 31% sequentially. 
5. Automotive revenue was up 114% from a year ago and up 1% sequentially. 
6. OEM and Other revenue was down 51% from a year ago and down 8% sequentially. 
7. Gross margin declined from a year earlier and increased sequentially. 
8. Operating expenses were down 30% from a year ago and down 3% sequentially.",23.191999,27.777
2023-04,,"1. Revenue for the second quarter of fiscal year 2024 was $13.51 billion, up 101% from a year ago and up 88% sequentially.
2. Data Center revenue was up 171% from a year ago and up 141% sequentially.
3. Gaming revenue was up 22% from a year ago and up 11% sequentially, primarily reflecting demand for our GeForce RTX 40 Series GPUs based on the NVIDIA Ada Lovelace architecture following normalization of channel inventory levels.
4. Professional Visualization revenue was down 24% from a year ago and up 28% sequentially. 
5. Automotive revenue was up 15% from a year ago and down 15% sequentially.
6. Gross margin increased from a year ago and sequentially.
7. Operating expenses were up 10% from a year ago and up 6% sequentially. | ANNUAL 1. Revenue for the first quarter of fiscal year 2024 was $7.19 billion, down 13% from a year ago and up 19% sequentially.
2. Data Center revenue was up 14% from a year ago and up 18% sequentially.
3. Gaming revenue was down 38% from a year ago and up 22% sequentially. 
4. Professional Visualization revenue was down 53% from a year ago and up 31% sequentially. 
5. Automotive revenue was up 114% from a year ago and up 1% sequentially. 
6. OEM and Other revenue was down 51% from a year ago and down 8% sequentially. 
7. Gross margin declined from a year earlier and increased sequentially. 
8. Operating expenses were down 30% from a year ago and down 3% sequentially.",27.509001,27.749001
2023-05,A Movement to Make Workplaces ‘Menopause Friendly’ | A.I. Demand Lifts Nvidia Toward Trillion-Dollar Valuation,"1. Revenue for the second quarter of fiscal year 2024 was $13.51 billion, up 101% from a year ago and up 88% sequentially.
2. Data Center revenue was up 171% from a year ago and up 141% sequentially.
3. Gaming revenue was up 22% from a year ago and up 11% sequentially, primarily reflecting demand for our GeForce RTX 40 Series GPUs based on the NVIDIA Ada Lovelace architecture following normalization of channel inventory levels.
4. Professional Visualization revenue was down 24% from a year ago and up 28% sequentially. 
5. Automotive revenue was up 15% from a year ago and down 15% sequentially.
6. Gross margin increased from a year ago and sequentially.
7. Operating expenses were up 10% from a year ago and up 6% sequentially. | ANNUAL 1. Revenue for the first quarter of fiscal year 2024 was $7.19 billion, down 13% from a year ago and up 19% sequentially.
2. Data Center revenue was up 14% from a year ago and up 18% sequentially.
3. Gaming revenue was down 38% from a year ago and up 22% sequentially. 
4. Professional Visualization revenue was down 53% from a year ago and up 31% sequentially. 
5. Automotive revenue was up 114% from a year ago and up 1% sequentially. 
6. OEM and Other revenue was down 51% from a year ago and down 8% sequentially. 
7. Gross margin declined from a year earlier and increased sequentially. 
8. Operating expenses were down 30% from a year ago and down 3% sequentially.",27.84,37.834
2023-06,"A.I.’s Inner Conflict, Nvidia Joins the Trillion-Dollar Club, and Hard Questions | The A.I. Chips War Could Heat Up This Summer","1. Revenue for the second quarter of fiscal year 2024 was $13.51 billion, up 101% from a year ago and up 88% sequentially.
2. Data Center revenue was up 171% from a year ago and up 141% sequentially.
3. Gaming revenue was up 22% from a year ago and up 11% sequentially, primarily reflecting demand for our GeForce RTX 40 Series GPUs based on the NVIDIA Ada Lovelace architecture following normalization of channel inventory levels.
4. Professional Visualization revenue was down 24% from a year ago and up 28% sequentially. 
5. Automotive revenue was up 15% from a year ago and down 15% sequentially.
6. Gross margin increased from a year ago and sequentially.
7. Operating expenses were up 10% from a year ago and up 6% sequentially.",38.488998,42.301998
2023-07,"Samsung’s A.I. Moment Is Here, but Is It Ready?","1. Revenue for the third quarter of fiscal year 2024 was $18.12 billion, up 206% from a year ago and up 34% sequentially.
2. Data Center revenue was up 279% from a year ago and up 41% sequentially. to support our HGX platform.
3. Gaming revenue was up 81% from a year ago and up 15% sequentially. 
4. Professional Visualization revenue was up 108% from a year ago and up 10% sequentially. 
5. Automotive revenue was up 4% from a year ago and up 3% sequentially. 
6. Gross margin increased significantly from a year ago and sequentially, driven by improved product mix from Data Center revenue growth and lower net inventory provisions and related charges.
7. The net inventory provisions were $681 million and the unfavorable effect on our gross margin was 11.5 percentage points.
8. Operating expenses were up 16% from a year ago and up 12% sequentially. | ANNUAL 1. Revenue for the second quarter of fiscal year 2024 was $13.51 billion, up 101% from a year ago and up 88% sequentially.
2. Data Center revenue was up 171% from a year ago and up 141% sequentially.
3. Gaming revenue was up 22% from a year ago and up 11% sequentially, primarily reflecting demand for our GeForce RTX 40 Series GPUs based on the NVIDIA Ada Lovelace architecture following normalization of channel inventory levels.
4. Professional Visualization revenue was down 24% from a year ago and up 28% sequentially. 
5. Automotive revenue was up 15% from a year ago and down 15% sequentially.
6. Gross margin increased from a year ago and sequentially.
7. Operating expenses were up 10% from a year ago and up 6% sequentially.",42.516998,46.729
2023-08,"How Nvidia Built a Competitive Moat Around A.I. Chips | Nvidia Revenue Doubles on Demand for A.I. Chips, and Could Go Higher | N.Y.C. Says Airbn-bye + How Far Would You Go for a GPU? + The A.I. Songs of the Summer","1. Revenue for the third quarter of fiscal year 2024 was $18.12 billion, up 206% from a year ago and up 34% sequentially.
2. Data Center revenue was up 279% from a year ago and up 41% sequentially. to support our HGX platform.
3. Gaming revenue was up 81% from a year ago and up 15% sequentially. 
4. Professional Visualization revenue was up 108% from a year ago and up 10% sequentially. 
5. Automotive revenue was up 4% from a year ago and up 3% sequentially. 
6. Gross margin increased significantly from a year ago and sequentially, driven by improved product mix from Data Center revenue growth and lower net inventory provisions and related charges.
7. The net inventory provisions were $681 million and the unfavorable effect on our gross margin was 11.5 percentage points.
8. Operating expenses were up 16% from a year ago and up 12% sequentially. | ANNUAL 1. Revenue for the second quarter of fiscal year 2024 was $13.51 billion, up 101% from a year ago and up 88% sequentially.
2. Data Center revenue was up 171% from a year ago and up 141% sequentially.
3. Gaming revenue was up 22% from a year ago and up 11% sequentially, primarily reflecting demand for our GeForce RTX 40 Series GPUs based on the NVIDIA Ada Lovelace architecture following normalization of channel inventory levels.
4. Professional Visualization revenue was down 24% from a year ago and up 28% sequentially. 
5. Automotive revenue was up 15% from a year ago and down 15% sequentially.
6. Gross margin increased from a year ago and sequentially.
7. Operating expenses were up 10% from a year ago and up 6% sequentially.",46.459999,49.355
2023-09,What C.E.O.s Mean When They Talk About ‘Moats’,"1. Revenue for the third quarter of fiscal year 2024 was $18.12 billion, up 206% from a year ago and up 34% sequentially.
2. Data Center revenue was up 279% from a year ago and up 41% sequentially. to support our HGX platform.
3. Gaming revenue was up 81% from a year ago and up 15% sequentially. 
4. Professional Visualization revenue was up 108% from a year ago and up 10% sequentially. 
5. Automotive revenue was up 4% from a year ago and up 3% sequentially. 
6. Gross margin increased significantly from a year ago and sequentially, driven by improved product mix from Data Center revenue growth and lower net inventory provisions and related charges.
7. The net inventory provisions were $681 million and the unfavorable effect on our gross margin was 11.5 percentage points.
8. Operating expenses were up 16% from a year ago and up 12% sequentially.",49.762001,43.499001
2023-10,How ‘A.I. Agents’ That Roam the Internet Could One Day Replace Workers,"1. Revenue for fiscal year 2024 was $60.9 billion, up 126% from a year ago.
2. Data Center revenue for fiscal year 2024 was up 217%. 
3. Gaming revenue for fiscal year 2024 was up 15%.
4. Professional Visualization revenue for fiscal year 2024 was up 1%.
5. Automotive revenue for the fiscal year 2024 was up 21%.
6. Gross margin increased in fiscal year 2024, primarily driven by Data Center revenue growth and lower net inventory provisions as a percentage of revenue.
7. Operating expenses increased for fiscal year 2024, driven by growth in employees and compensation increases. | ANNUAL 1. Revenue for the third quarter of fiscal year 2024 was $18.12 billion, up 206% from a year ago and up 34% sequentially.
2. Data Center revenue was up 279% from a year ago and up 41% sequentially. to support our HGX platform.
3. Gaming revenue was up 81% from a year ago and up 15% sequentially. 
4. Professional Visualization revenue was up 108% from a year ago and up 10% sequentially. 
5. Automotive revenue was up 4% from a year ago and up 3% sequentially. 
6. Gross margin increased significantly from a year ago and sequentially, driven by improved product mix from Data Center revenue growth and lower net inventory provisions and related charges.
7. The net inventory provisions were $681 million and the unfavorable effect on our gross margin was 11.5 percentage points.
8. Operating expenses were up 16% from a year ago and up 12% sequentially.",44.029999,40.779999
2023-11,"Nvidia Triples Quarterly Revenue, but Sales in China Are a Concern | Nvidia C.E.O. Is Not Worried About Rising A.I. Industry Competition | U.S. Will Take Years to Reach Chip Independence, Nvidia C.E.O. Says","1. Revenue for fiscal year 2024 was $60.9 billion, up 126% from a year ago.
2. Data Center revenue for fiscal year 2024 was up 217%. 
3. Gaming revenue for fiscal year 2024 was up 15%.
4. Professional Visualization revenue for fiscal year 2024 was up 1%.
5. Automotive revenue for the fiscal year 2024 was up 21%.
6. Gross margin increased in fiscal year 2024, primarily driven by Data Center revenue growth and lower net inventory provisions as a percentage of revenue.
7. Operating expenses increased for fiscal year 2024, driven by growth in employees and compensation increases. | ANNUAL 1. Revenue for the third quarter of fiscal year 2024 was $18.12 billion, up 206% from a year ago and up 34% sequentially.
2. Data Center revenue was up 279% from a year ago and up 41% sequentially. to support our HGX platform.
3. Gaming revenue was up 81% from a year ago and up 15% sequentially. 
4. Professional Visualization revenue was up 108% from a year ago and up 10% sequentially. 
5. Automotive revenue was up 4% from a year ago and up 3% sequentially. 
6. Gross margin increased significantly from a year ago and sequentially, driven by improved product mix from Data Center revenue growth and lower net inventory provisions and related charges.
7. The net inventory provisions were $681 million and the unfavorable effect on our gross margin was 11.5 percentage points.
8. Operating expenses were up 16% from a year ago and up 12% sequentially.",40.883999,46.77
2023-12,,"1. Revenue for fiscal year 2024 was $60.9 billion, up 126% from a year ago.
2. Data Center revenue for fiscal year 2024 was up 217%. 
3. Gaming revenue for fiscal year 2024 was up 15%.
4. Professional Visualization revenue for fiscal year 2024 was up 1%.
5. Automotive revenue for the fiscal year 2024 was up 21%.
6. Gross margin increased in fiscal year 2024, primarily driven by Data Center revenue growth and lower net inventory provisions as a percentage of revenue.
7. Operating expenses increased for fiscal year 2024, driven by growth in employees and compensation increases.",46.525002,49.521999
2024-01,The S&P 500 Through the Prism of a ‘Magnificent 7’ | Nvidia’s Big Tech Rivals Put Their Own A.I. Chips on the Table,"1. Data Center revenue was up 427% from a year ago and up 23% sequentially. 
2. Gaming revenue was up 18% from a year ago and down 8% sequentially. 
3. Professional Visualization revenue was up 45% from a year ago and down 8% sequentially.
4. Automotive revenue was up 11% from a year ago and up 17% sequentially.
5. Gross margin for the first quarter increased significantly from a year ago on strong Data Center revenue growth primarily driven by our Hopper GPU computing platform. 
6. Operating expenses were up 39% from a year ago and up 10% sequentially. compensation. | ANNUAL 1. Revenue for fiscal year 2024 was $60.9 billion, up 126% from a year ago.
2. Data Center revenue for fiscal year 2024 was up 217%. 
3. Gaming revenue for fiscal year 2024 was up 15%.
4. Professional Visualization revenue for fiscal year 2024 was up 1%.
5. Automotive revenue for the fiscal year 2024 was up 21%.
6. Gross margin increased in fiscal year 2024, primarily driven by Data Center revenue growth and lower net inventory provisions as a percentage of revenue.
7. Operating expenses increased for fiscal year 2024, driven by growth in employees and compensation increases.",49.243999,61.527
2024-02,The Chips Riding on Nvidia | Nvidia Says Growth Will Continue as A.I. Hits ‘Tipping Point’ | Nvidia Is a Must-Buy. Or Is It? | An A.I. ‘Tipping Point’ Ignites a New Market Rally | Stocks Jump as Nvidia Sets Off Tech Rally | The Big Number: $1.4 Trillion,"1. Data Center revenue was up 427% from a year ago and up 23% sequentially. 
2. Gaming revenue was up 18% from a year ago and down 8% sequentially. 
3. Professional Visualization revenue was up 45% from a year ago and down 8% sequentially.
4. Automotive revenue was up 11% from a year ago and up 17% sequentially.
5. Gross margin for the first quarter increased significantly from a year ago on strong Data Center revenue growth primarily driven by our Hopper GPU computing platform. 
6. Operating expenses were up 39% from a year ago and up 10% sequentially. compensation. | ANNUAL 1. Revenue for fiscal year 2024 was $60.9 billion, up 126% from a year ago.
2. Data Center revenue for fiscal year 2024 was up 217%. 
3. Gaming revenue for fiscal year 2024 was up 15%.
4. Professional Visualization revenue for fiscal year 2024 was up 1%.
5. Automotive revenue for the fiscal year 2024 was up 21%.
6. Gross margin increased in fiscal year 2024, primarily driven by Data Center revenue growth and lower net inventory provisions as a percentage of revenue.
7. Operating expenses increased for fiscal year 2024, driven by growth in employees and compensation increases.",62.099998,79.112
2024-03,"If Nvidia Keeps Rising Like This, It Will Be Bigger Than the Global Economy | Investors Shrug Off Nvidia’s ‘A.I. Woodstock’","1. Data Center revenue was up 427% from a year ago and up 23% sequentially. 
2. Gaming revenue was up 18% from a year ago and down 8% sequentially. 
3. Professional Visualization revenue was up 45% from a year ago and down 8% sequentially.
4. Automotive revenue was up 11% from a year ago and up 17% sequentially.
5. Gross margin for the first quarter increased significantly from a year ago on strong Data Center revenue growth primarily driven by our Hopper GPU computing platform. 
6. Operating expenses were up 39% from a year ago and up 10% sequentially. compensation.",80.0,90.356003
2024-04,,"1. Data Center revenue was up 427% from a year ago and up 23% sequentially. 
2. Gaming revenue was up 18% from a year ago and down 8% sequentially. 
3. Professional Visualization revenue was up 45% from a year ago and down 8% sequentially.
4. Automotive revenue was up 11% from a year ago and up 17% sequentially.
5. Gross margin for the first quarter increased significantly from a year ago on strong Data Center revenue growth primarily driven by our Hopper GPU computing platform. 
6. Operating expenses were up 39% from a year ago and up 10% sequentially. compensation.",90.299004,86.402
2024-05,"Testing the Nvidia Boom | Nvidia, Powered by A.I. Boom, Reports Soaring Revenue and Profits","1. Data Center revenue was up 427% from a year ago and up 23% sequentially. 
2. Gaming revenue was up 18% from a year ago and down 8% sequentially. 
3. Professional Visualization revenue was up 45% from a year ago and down 8% sequentially.
4. Automotive revenue was up 11% from a year ago and up 17% sequentially.
5. Gross margin for the first quarter increased significantly from a year ago on strong Data Center revenue growth primarily driven by our Hopper GPU computing platform. 
6. Operating expenses were up 39% from a year ago and up 10% sequentially. compensation.",85.077003,109.633003
2024-06,"U.S. Clears Way for Antitrust Inquiries of Nvidia, Microsoft and OpenAI | Regulators Take on the Giants of A.I. | Nvidia Becomes Most Valuable Public Company, Topping Microsoft | U.S. Clears Way for Antitrust Inquiries of Nvidia, Microsoft and OpenAI | Regulators Take on the Giants of A.I. | Nvidia Becomes Most Valuable Public Company, Topping Microsoft",,113.621002,135.580002
